timestamp,proposal_title,accepted,mean_profit_delta,median_profit_delta,win_rate_delta,crash_count,invalid_action_count,worst_scenario_delta
2026-08-05T23:27:31.780732+00:00,終盤の無駄なCARROT種購入を停止,False,20.0,20.0,0.5,0,0,20.0
2026-08-06T00:37:21.175301+00:00,複数タイル・複数雇い人によるメロン/ウィート並行栽培への転換,True,22433.6,22444.0,0.5,0,0,22309.0
2026-08-06T00:57:22.499746+00:00,専任世話係による牛(ミルク)・羊(ウール)畜産の導入,True,9935.5,10031.5,0.5,0,0,9082.0
2026-08-06T01:21:16.061266+00:00,世話係2人・動物6頭への拡大(初回試作、資金繰り悪化のためREJECTED),False,-3556.7,-4336.0,-0.4,0,0,-4828.0
2026-08-06T01:24:05.793489+00:00,世話係の動物取得を数日ずらして分散(2回目試作、依然REJECTED),False,-3560.8,-4341.0,-0.4,0,0,-4831.0
2026-08-06T01:50:12.348873+00:00,世話係の優先順位バグ修正(逃亡ゼロ達成、しかし依然REJECTED=経済構造の問題と判明),False,-4869.6,-5710.5,-0.4,0,0,-6968.0
2026-08-06T02:02:15.042294+00:00,farmerに空き時間で牛+羊を追加担当させる(2+2構成、20試合で検証、僅差でREJECTED),False,4453.35,4306.0,0.5,0,0,2956.0
2026-08-06T02:17:52.245598+00:00,肥料(FERTILIZER)を売却対象に追加(死蔵していた副産物を換金),True,17150.466666666667,17574.0,0.5,0,0,10703.0
2026-08-06T02:23:30.361162+00:00,牧場タイルに雑草が生えて永久に使えなくなるバグを修正(DIG追加、逃したことのない羊1頭分を回収),False,590.53,0.0,-0.4333,0,0,0.0
2026-08-06T03:54:19.143674+00:00,オフライン探索で発見: ウィートタイル廃止(全メロン化)+現金準備金ゼロ,True,12311.466666666667,12298.0,0.5,0,0,11878.0
